step,mode,current_altitude_ft,selected_altitude_ft,target_speed_kts,cmd_mode,cmd_vs_fpm,cmd_speed_kts,distance_to_next_nm
403,ALT_CAP,9938.33,10000,280,ALT_CAP,300,280,-16.5035
404,ALT_CAP,9943.33,10000,280,ALT_CAP,300,280,-18.2414
405,ALT_CAP,9948.33,10000,280,ALT_CAP,300,280,-19.9794
406,ALT_CAP,9953.33,10000,280,ALT_CAP,300,280,-21.7173
407,ALT_CAP,9958.33,10000,280,ALT_CAP,300,280,-23.4553
408,ALT_CAP,9963.33,10000,280,ALT_CAP,300,280,-25.1933
409,ALT_CAP,9968.33,10000,280,ALT_CAP,300,280,-26.9312
410,ALT_CAP,9973.33,10000,280,ALT_CAP,300,280,-28.6692
411,ALT_CAP,9978.33,10000,280,ALT_CAP,300,280,-30.4071
412,PATH,9983.33,10000,280,ALT_HOLD,0,280,-32.1451
413,PATH,9983.33,3000,280,PATH,-1500,280,-33.883
414,PATH,9958.33,3000,280,PATH,-1500,280,-35.621
415,PATH,9933.33,3000,280,PATH,-1500,280,-37.3589
416,PATH,9908.33,3000,280,PATH,-1500,280,-39.0969
417,PATH,9883.33,3000,280,PATH,-1500,280,-40.8348
418,PATH,9858.33,3000,280,PATH,-1500,280,-42.5728
419,PATH,9833.33,3000,280,PATH,-1500,280,-44.3107
420,PATH,9808.33,3000,280,PATH,-1500,280,-46.0487
421,PATH,9783.33,3000,280,PATH,-1500,280,-47.7866
422,PATH,9758.33,3000,280,PATH,-1500,280,-49.5246
423,PATH,9733.33,3000,280,PATH,-1500,280,-51.2625
424,PATH,9708.33,3000,280,PATH,-1500,280,-53.0005
425,PATH,9683.33,3000,280,PATH,-1500,280,-54.7384
426,PATH,9658.33,3000,280,PATH,-1500,280,-56.4764
427,PATH,9633.33,3000,280,PATH,-1500,280,-58.2143
428,PATH,9608.33,3000,280,PATH,-1500,280,-59.9523
429,PATH,9583.33,3000,280,PATH,-1500,280,-61.6902
430,PATH,9558.33,3000,280,PATH,-1500,280,-63.4282
431,PATH,9533.33,3000,280,PATH,-1500,280,-65.1661
432,PATH,9508.33,3000,280,PATH,-1500,280,-66.9041
433,PATH,9483.33,3000,280,PATH,-1500,280,-68.642
434,PATH,9458.33,3000,280,PATH,-1500,280,-70.38
